location_code,year,location_id,product_id,export_value,import_value,hs_eci,hs_coi,pci
NFK,2016,15326,14356,797573.1055908203,37919232.12878418,-4.423232010000005,-79.20679530000015,-21.67433796986309
NGA,2016,16218,16366,36098625172.595276,42778123201.627014,-188.4981012000003,-130.89644700000005,-22.244405569863087
NIC,2016,16320,16366,6449932762.283997,7324766222.382019,-104.63664900000025,-100.40266265999996,-22.244405569863087
NIU,2016,15617,14356,1239634.9029541016,17993983.999023438,189.07845280000015,-41.820450019999996,-21.67433796986309
NLD,2016,16524,16366,620447371713.7079,620920129530.9675,118.23888959999985,155.24288820000015,-22.244405569863087
NOR,2016,16626,16366,128110335468.0846,121065840678.68677,89.31023712000012,30.528814199999935,-22.244405569863087
NPL,2016,16728,16366,2031550749.6819153,7895645149.457947,-33.02921669999998,50.905163460000054,-22.244405569863087
NRU,2016,16005,14356,17149157.158691406,54679334.39575195,71.62704748999995,-45.86531315999997,-21.67433796986309
NZL,2016,16932,16366,48482248927.399536,43057065667.03162,27.255216000000008,28.289804040000035,-22.244405569863087
OMN,2016,17034,16366,45714858311.07926,34572898341.746216,-31.04697012000009,-92.70800909999993,-22.244405569863087
PAK,2016,17136,16366,25422707441.472305,58198099574.25714,-74.15810345999999,56.6536764000001,-22.244405569863087
PAN,2016,17238,16366,20357048124.323425,38367724461.68274,57.567609659999995,68.94088200000004,-22.244405569863087
PCN,2016,16587,14356,290030.8269042969,2911472.010986328,86.13419580000007,-81.41489068999998,-21.67433796986309
PER,2016,17646,16366,41108404060.595184,40863680602.55859,-71.80967280000003,4.357596672000008,-22.244405569863087
PHL,2016,17748,16366,98413092861.35648,127581660349.9469,61.78838700000017,32.00339046,-22.244405569863087
PLW,2016,17850,16366,182869980.63000488,175180828.131073,80.00845319999993,-54.26231087999993,-22.244405569863087
PNG,2016,17952,16366,7457210182.392272,5187869232.741699,-175.1502383999998,-130.07858039999982,-22.244405569863087
POL,2016,18054,16366,245947599625.6128,243326075328.4082,117.20807760000015,125.45023860000009,-22.244405569863087
PRK,2016,18156,16366,2870309625.0548096,3121985282.01416,-46.95046025999992,-14.189021100000033,-22.244405569863087
PRT,2016,18258,16366,82581233164.90948,79619481018.19861,53.025995399999935,231.15903000000026,-22.244405569863087
PRY,2016,18360,16366,7637085955.67511,9673584978.524689,-75.15499332000003,-106.3546248000003,-22.244405569863087
PSE,2016,18462,16366,1403929092.9283447,5075663421.542709,-1.466599248,55.5375924000001,-22.244405569863087
PYF,2016,18564,16366,1167071935.4388428,1676141140.4840088,8.392943520000006,-66.2332206,-22.244405569863087
QAT,2016,18666,16366,70083092148.86092,61087320397.3338,-32.076270480000076,-112.79859719999976,-22.244405569863087
ROU,2016,18870,16366,83565504416.67252,82492997436.35199,105.23516459999979,103.00796400000011,-22.244405569863087
RUS,2016,18972,16366,342742885923.5364,251826516714.67993,29.956291260000043,21.456389519999984,-22.244405569863087
RWA,2016,19074,16366,1486059146.7358704,2482404657.613037,-48.28972128000011,-45.85281785999996,-22.244405569863087
SAU,2016,19176,16366,219156449650.40366,197655861403.71265,39.02897400000002,-69.07623191999996,-22.244405569863087
SDN,2016,19380,16366,5090347888.104813,9311167409.49585,-122.58742499999973,-120.08181540000022,-22.244405569863087
SEN,2016,19482,16366,4110576799.741089,9565948244.977417,-62.43846360000016,-42.76397225999997,-22.244405569863087
SGP,2016,19584,16366,402014033744.85474,420897473543.3413,208.48417499999988,57.487108199999916,-22.244405569863087
SHN,2016,18818,14356,20831597.998291016,47017067.21911621,132.03025019999984,-30.90138699999995,-21.67433796986309
SLB,2016,19890,16366,627561599.7309723,619281956.3303223,-74.94937560000004,-88.55582268000012,-22.244405569863087
SLE,2016,19992,16366,842888075.0072632,1460400168.9960938,-8.44024703999999,-43.67295036,-22.244405569863087
SLV,2016,20094,16366,8028515033.762085,9982630417.314392,7.566159059999989,25.98462953999999,-22.244405569863087
SMR,2016,20196,16366,168150644.8828125,279398514.18896484,107.44110839999988,45.02763887999995,-22.244405569863087
SOM,2016,20298,16366,444339303.194458,2438046830.067505,-146.13803160000015,-101.42458332000021,-22.244405569863087
SPM,2016,19400,14356,4132803.6560058594,61497119.13751221,67.67697178000006,-52.006045600000064,-21.67433796986309
SRB,2016,20502,16366,19538229495.298096,21955651833.569305,54.47366100000008,110.18384760000012,-22.244405569863087
SSD,2016,19594,14356,1234402458.4945066,422861926.16833496,-172.77042480000026,-94.58779138999988,-21.67433796986309
STP,2016,20706,16366,111943368.00592041,207203616.41674805,42.103482479999954,-66.89155613999993,-22.244405569863087
SUR,2016,20910,16366,1634922791.9459534,1673760072.4449463,-75.48944519999985,-105.42831179999995,-22.244405569863087
SVK,2016,21012,16366,83346391156.81995,81566415300.76129,131.85912300000007,77.27087825999995,-22.244405569863087
SVN,2016,21114,16366,35129774217.611084,35845365335.62268,168.27626459999996,85.12533012000002,-22.244405569863087
SWE,2016,21216,16366,212124144248.53906,197868148021.24365,185.640867,73.5484362,-22.244405569863087
