location_code,year,location_id,product_id,export_value,import_value,hs_eci,hs_coi,pci,country_name
IRQ,2018,11016,16366,86816602089.20026,62723382027.05359,-171.74350980000023,-96.64638719999981,-26.43841369591136,Iraq
ISL,2018,11118,16366,12073719456.819992,11146749671.483032,32.15163114000005,-30.40307166000004,-26.43841369591136,Iceland
ISR,2018,11220,16366,110227085687.47919,104723111696.12384,139.67468940000003,89.5941643200002,-26.43841369591136,Israel
ITA,2018,11322,16366,671404222698.5173,610820580246.4716,138.14955480000006,56.744793000000094,-26.43841369591136,Italy
JAM,2018,11424,16366,4999817811.929321,7000402503.934082,-58.63965107999996,-99.5493439200001,-26.43841369591136,Jamaica
JOR,2018,11526,16366,15592750755.085083,24998415256.58612,-2.9908934699999934,32.25428088,-26.43841369591136,Jordan
JPN,2018,11628,16366,943909391459.6519,850169735118.5302,254.60485200000025,-36.960738360000015,-26.43841369591136,Japan
KAZ,2018,11730,16366,55346840691.70746,50134766328.43793,-47.51296373999995,-67.25520552000012,-26.43841369591136,Kazakhstan
KEN,2018,11832,16366,6039364740.168945,18752711100.322388,-36.434767199999904,70.50290999999982,-26.43841369591136,Kenya
KGZ,2018,11934,16366,2448907654.0354843,10679084093.162964,-13.293627359999967,37.85591279999999,-26.43841369591136,Kyrgyzstan
KHM,2018,12036,16366,22386038454.31903,29148334497.814514,-48.82941653999996,-56.054824200000084,-26.43841369591136,Cambodia
KIR,2018,12138,16366,92201865.47302246,101261968.92932129,-31.283119499999938,-86.97316212000013,-26.43841369591136,Kiribati
KNA,2018,12240,16366,77041760.13970947,341210370.5743408,36.67542192000004,-65.00489987999993,-26.43841369591136,Saint Kitts and Nevis
KOR,2018,12342,16366,710810353534.0823,622751550633.4604,211.55633339999957,78.66422580000007,-26.43841369591136,South Korea
KWT,2018,12444,16366,132297208184.8581,68090079057.58429,-44.60666345999995,-113.20010999999981,-26.43841369591136,Kuwait
LAO,2018,12546,16366,6834826147.427185,8371090523.412781,-81.42347879999997,-78.13889519999996,-26.43841369591136,Lao People's Democratic Republic
LBN,2018,12648,16366,3279199270.572937,19473890996.63269,30.868596600000007,106.33428599999974,-26.43841369591136,Lebanon
LBR,2018,12750,16366,1172538184.1922607,9787444687.078918,-103.8735258000001,-112.47564479999986,-26.43841369591136,Liberia
LBY,2018,12852,16366,27308633169.42273,12938900846.083252,-160.5691446000001,-121.5900384000002,-26.43841369591136,Libyan Arab Jamahiriya
LCA,2018,12954,16366,68360396.21582031,1359654208.4707031,-14.505074220000019,-66.3796416,-26.43841369591136,Saint Lucia
LKA,2018,13056,16366,18484131714.01013,24762754397.21985,-55.34979407999985,46.05592434,-26.43841369591136,Sri Lanka
LSO,2018,13158,16366,1118114773.3114624,1878359909.1311646,-112.53783419999975,-93.42247319999997,-26.43841369591136,Lesotho
LTU,2018,13260,16366,42847708200.042725,40455641884.88818,99.61170059999975,145.54498319999993,-26.43841369591136,Lithuania
LUX,2018,13362,16366,131283684041.72186,115395119945.198,114.89522759999986,137.40197639999988,-26.43841369591136,Luxembourg
LVA,2018,13464,16366,21166423447.653015,26770675328.46289,72.12487320000015,131.3637600000001,-26.43841369591136,Latvia
MAC,2018,13566,16366,1386096218.440979,12602907174.994965,48.69692159999995,9.149451000000003,-26.43841369591136,Macao
MAR,2018,13668,16366,49175929936.6051,56039415499.59564,-74.37615599999997,-7.981674419999998,-26.43841369591136,Morocco
MDA,2018,13770,16366,4719079501.606812,7088293541.720993,-31.18911120000003,-18.555676800000036,-26.43841369591136,"Moldova, Republic of"
MDG,2018,13872,16366,4641820098.742737,5044469662.871155,-120.93650400000017,-72.42856391999997,-26.43841369591136,Madagascar
MDV,2018,13974,16366,3605945218.9415283,3703826256.5128174,-57.59170409999993,-90.74632368,-26.43841369591136,Maldives
MEX,2018,14076,16366,489244162280.4386,464177424514.39246,98.7162629999999,60.93202560000008,-26.43841369591136,Mexico
MHL,2018,14178,16366,583788984.046875,12018717424.494446,8.08126008000001,-76.68118260000017,-26.43841369591136,Marshall Islands
